Q5JTZ9	concentration:15.09	copy_number:18171
Q96A49	concentration:574.77	copy_number:692264
Q9BXP5	concentration:400.89	copy_number:482839
P16144	concentration:43.46	copy_number:52345
Q9Y6K8	concentration:1429.72	copy_number:1721998
Q9UBS0	concentration:24.38	copy_number:29358
Q4G0X4	concentration:11.89	copy_number:14319
Q07866	concentration:153.81	copy_number:185252
Q96AG4	concentration:2480.02	copy_number:2987006
A4QPB2	concentration:0.97	copy_number:1172
Q9Y2Y9	concentration:1.22	copy_number:1474
Q86W92	concentration:28.24	copy_number:34011
Q86UE4	concentration:575.32	copy_number:692930
Q93074	concentration:4.00	copy_number:4814
Q13434	concentration:2.01	copy_number:2426
Q9BWT6	concentration:25.44	copy_number:30644
Q9H019	concentration:29.89	copy_number:36000
Q86VD1	concentration:17.30	copy_number:20831
Q6NTE8	concentration:1.58	copy_number:1899
O60524	concentration:37.63	copy_number:45320
Q5JS37	concentration:3.13	copy_number:3770
Q13563	concentration:1.27	copy_number:1527
Q14249	concentration:3.49	copy_number:4207
Q9BQG2	concentration:4.29	copy_number:5170
Q9BZD4	concentration:74.44	copy_number:89659
Q5W0B1	concentration:18.00	copy_number:21677
Q9NWQ8	concentration:9.09	copy_number:10946
Q969N2	concentration:20.35	copy_number:24511
