Sample description: prot1
Sample: prot1 c= 4.5 Code: Apr1
Subtracted from raw files: "C:\Data\rishi-4and9mgpml\prot4p5mgpmlrep1_0001.img" "C:\Data\rishi-4and9mgpml\bufferrep1_0002.img"
Processed by SAXSLab Sat Apr 02 09:53:54 2022
BeamCenter_X: 754.149 BeamCenter_Y: 199.623
Exposure time (sec): 3600
Pin diode (mean): 6.6504e-08
==============================================
0.443229 0.139127 0.0135888
0.44404 0.149543 0.0140914
0.444852 0.14907 0.0137207
0.445663 0.149465 0.0139538
0.446475 0.166473 0.0138283
0.447286 0.173913 0.013531
0.448098 0.15623 0.0138432
0.448909 0.172016 0.0142158
0.449721 0.146842 0.0139146
0.450532 0.192735 0.0136224
0.451344 0.129807 0.0137286
0.452155 0.167031 0.0136119
0.452967 0.14182 0.0135081
0.453778 0.168011 0.0138115
0.45459 0.130424 0.0139126
0.455401 0.13345 0.0138471
0.456213 0.136294 0.0137898
0.457024 0.154001 0.013864
0.457836 0.148103 0.0141587
0.458647 0.164963 0.0132226
0.459459 0.155619 0.0127598
0.46027 0.152586 0.0127368
0.461082 0.142342 0.0130875
0.461893 0.143385 0.013514
0.462704 0.120301 0.0131132
0.463516 0.134743 0.0134017
0.464327 0.153823 0.013005
0.465139 0.16814 0.0135757
0.46595 0.148919 0.0136264
0.466762 0.154134 0.0134995
0.467573 0.147171 0.0133991
0.468385 0.140993 0.0139005
0.469196 0.156071 0.0137784
0.470008 0.172536 0.013594
0.470819 0.129319 0.0130384
0.471631 0.160059 0.0142404
0.472442 0.143659 0.013383
0.473254 0.177618 0.0136335
0.474065 0.1507 0.0132868
0.474877 0.141527 0.0134619
0.475688 0.140174 0.0135302
0.4765 0.166783 0.0134987
0.477311 0.15421 0.013813
0.478123 0.139917 0.0134788
0.478934 0.148502 0.0138202
0.479746 0.145127 0.013937
0.480557 0.155478 0.0135031
0.481369 0.138822 0.0133677
0.48218 0.126705 0.0140291
0.482992 0.158833 0.0135268
0.483803 0.15469 0.0136874
0.484614 0.158996 0.0134566
0.485426 0.143633 0.0134484
0.486237 0.141281 0.0133562
0.487049 0.130312 0.0137255
0.48786 0.130991 0.01408
0.488672 0.12989 0.0139723
0.489483 0.127944 0.0136324
0.490295 0.125882 0.0139468
0.491106 0.150972 0.0138165
0.491918 0.157727 0.0133292
0.492729 0.129743 0.0135537
0.493541 0.143564 0.0136604
0.494352 0.139916 0.0138576
0.495164 0.136189 0.0137695
0.495975 0.140054 0.0142572
0.496787 0.145178 0.0139853
0.497598 0.149239 0.0135286
0.49841 0.139115 0.0137624
0.499221 0.119825 0.013573
0.500033 0.113668 0.013897
0.500844 0.127578 0.0137578
0.501656 0.126421 0.0134715
0.502467 0.160355 0.0136075
0.503279 0.137181 0.0138142
0.50409 0.152725 0.0135401
0.504902 0.120693 0.0137374
0.505713 0.112432 0.0136777
0.506524 0.132579 0.0138129
0.507336 0.135287 0.0136613
0.508147 0.138103 0.0139147
0.508959 0.118655 0.0137805
0.50977 0.136617 0.0140068
0.510582 0.140935 0.0140965
0.511393 0.135085 0.0137457
0.512205 0.134368 0.0141405
0.513016 0.139169 0.0134482
0.513828 0.115152 0.0137621
0.514639 0.12009 0.0143909
0.515451 0.111274 0.0137562
0.516262 0.108607 0.0137397
0.517074 0.126689 0.0140025
0.517885 0.141917 0.0137416
0.518697 0.121761 0.013929
0.519508 0.133824 0.0139895
0.52032 0.148685 0.013967
0.521131 0.127604 0.0136047
0.521943 0.138283 0.0133781
0.522754 0.143678 0.0139131
0.523566 0.109159 0.013863
0.524377 0.121344 0.0137315
0.525189 0.128702 0.013781
0.526 0.155173 0.0137264
0.526812 0.126985 0.0134853
0.527623 0.100379 0.013961
0.528434 0.12908 0.0136613
0.529246 0.123407 0.013763
0.530057 0.138297 0.0140622
0.530869 0.116014 0.0138064
0.53168 0.145252 0.0140262
0.532492 0.140512 0.0142026
0.533303 0.112928 0.0138981
0.534115 0.159834 0.0135175
0.534926 0.129983 0.0139319
0.535738 0.125908 0.0140695
0.536549 0.123052 0.0140234
0.537361 0.132016 0.0134187
0.538172 0.114992 0.0125799
0.538984 0.105583 0.0129976
0.539795 0.137184 0.0135398
0.540607 0.138144 0.0137833
0.541418 0.105403 0.0135695
0.54223 0.11242 0.0137397
0.543041 0.138536 0.0136564
0.543853 0.120329 0.0138667
0.544664 0.115245 0.0139853
0.545476 0.117012 0.0133433
0.546287 0.129917 0.0135379
0.547099 0.100878 0.0138525
0.54791 0.10209 0.0138355
0.548722 0.108953 0.0136167
0.549533 0.134886 0.013589
0.550345 0.141522 0.0136474
0.551156 0.119306 0.0136428
0.551967 0.133613 0.0138684
0.552779 0.114188 0.0140063
0.55359 0.113058 0.0138058
0.554402 0.149519 0.0137322
0.555213 0.136256 0.0137047
0.556025 0.105079 0.0139332
0.556836 0.12182 0.0136757
0.557648 0.106836 0.0139789
0.558459 0.102313 0.0138255
0.559271 0.137427 0.0137958
0.560082 0.133527 0.0139127
0.560894 0.119828 0.014081
0.561705 0.117434 0.0138424
0.562517 0.111039 0.0143262
0.563328 0.105635 0.0143205
0.56414 0.116898 0.0141797
0.564951 0.124074 0.0143858
0.565763 0.127375 0.0144241
0.566574 0.133351 0.0139087
0.567386 0.134334 0.0141978
0.568197 0.114846 0.0144955
0.569009 0.123588 0.0145825
0.56982 0.133238 0.0143607
0.570632 0.103948 0.014003
0.571443 0.132983 0.0145188
0.572255 0.117115 0.0140688
0.573066 0.117396 0.0144181
0.573877 0.0814261 0.0141568
0.574689 0.12004 0.0142051
0.5755 0.109886 0.0141925
0.576312 0.108464 0.014525
