all,non_tail,N,C,N_w_pdb,C_w_pdb
1439.0,662.0,28.0,20.0,,
124.0,41.0,32.0,70.0,,
1419.0,21.0,33.0,23.0,,
30.0,72.0,39.0,45.0,,
26.0,49.0,52.0,84.0,,
24.0,65.0,76.0,63.0,,
60.0,21.0,148.0,47.0,,
341.0,90.0,65.0,31.0,,
23.0,20.0,26.0,26.0,,
21.0,49.0,36.0,122.0,,
59.0,470.0,59.0,279.0,,
36.0,84.0,73.0,42.0,,
21.0,91.0,22.0,132.0,,
25.0,22.0,119.0,35.0,,
46.0,27.0,20.0,165.0,,
24.0,1124.0,51.0,49.0,,
88.0,28.0,34.0,111.0,,
48.0,23.0,21.0,69.0,,
20.0,39.0,33.0,35.0,,
28.0,58.0,33.0,36.0,,
60.0,498.0,86.0,38.0,,
24.0,179.0,146.0,82.0,,
59.0,53.0,36.0,30.0,,
22.0,50.0,72.0,24.0,,
1355.0,45.0,53.0,71.0,,
28.0,71.0,33.0,173.0,,
26.0,48.0,49.0,120.0,,
25.0,22.0,83.0,67.0,,
152.0,32.0,139.0,305.0,,
20.0,20.0,21.0,21.0,,
115.0,323.0,243.0,257.0,,
24.0,30.0,81.0,44.0,,
20.0,46.0,76.0,150.0,,
41.0,159.0,65.0,30.0,,
36.0,89.0,117.0,109.0,,
34.0,20.0,158.0,143.0,,
24.0,20.0,39.0,65.0,,
33.0,21.0,32.0,24.0,,
31.0,37.0,48.0,35.0,,
22.0,111.0,23.0,21.0,,
23.0,54.0,27.0,34.0,,
48.0,44.0,101.0,36.0,,
229.0,20.0,52.0,101.0,,
114.0,20.0,503.0,32.0,,
43.0,120.0,21.0,55.0,,
92.0,53.0,49.0,118.0,,
257.0,46.0,51.0,31.0,,
57.0,28.0,89.0,28.0,,
20.0,92.0,42.0,26.0,,
35.0,27.0,25.0,35.0,,
74.0,36.0,34.0,117.0,,
224.0,28.0,24.0,40.0,,
246.0,102.0,25.0,62.0,,
211.0,56.0,25.0,60.0,,
583.0,51.0,27.0,66.0,,
519.0,26.0,168.0,114.0,,
180.0,25.0,134.0,34.0,,
138.0,88.0,39.0,25.0,,
25.0,32.0,32.0,20.0,,
