Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 2.374931e-001  3.425117e-004  7.377813e-005
 2.379485e-001  3.327677e-004  7.376400e-005
 2.384038e-001  3.999456e-004  7.369883e-005
 2.388591e-001  4.469668e-004  7.332458e-005
 2.393144e-001  3.829852e-004  7.381374e-005
 2.397697e-001  3.738465e-004  7.343598e-005
 2.402250e-001  3.272699e-004  7.341379e-005
 2.406803e-001  3.339462e-004  7.350392e-005
 2.411356e-001  3.226297e-004  7.261625e-005
 2.415909e-001  3.483496e-004  7.311090e-005
 2.420462e-001  4.024617e-004  7.242889e-005
 2.425015e-001  3.496799e-004  7.323878e-005
 2.429568e-001  3.675973e-004  7.225200e-005
 2.434120e-001  2.527473e-004  7.276997e-005
 2.438673e-001  3.077914e-004  7.258721e-005
 2.443226e-001  4.213890e-004  7.211935e-005
 2.447779e-001  2.422167e-004  7.267845e-005
 2.452331e-001  5.283305e-004  7.208015e-005
 2.456884e-001  4.886264e-004  7.230045e-005
 2.461437e-001  3.463154e-004  7.269508e-005
 2.465989e-001  4.135029e-004  7.155092e-005
 2.470542e-001  3.883188e-004  7.189927e-005
 2.475094e-001  3.246386e-004  7.134609e-005
 2.479647e-001  4.192701e-004  7.230678e-005
 2.484199e-001  4.274504e-004  7.187996e-005
 2.488752e-001  4.176437e-004  7.113709e-005
 2.493304e-001  4.280652e-004  7.192244e-005
 2.497857e-001  2.578064e-004  7.133370e-005
 2.502409e-001  5.880808e-004  7.200435e-005
 2.506961e-001  2.730417e-004  7.144055e-005
 2.511514e-001  4.428373e-004  7.138767e-005
 2.516066e-001  3.358516e-004  7.157531e-005
 2.520618e-001  4.727924e-004  7.090151e-005
 2.525170e-001  3.808854e-004  7.094141e-005
 2.529722e-001  4.071219e-004  7.074206e-005
 2.534274e-001  4.210861e-004  7.066545e-005
 2.538827e-001  2.906161e-004  7.057634e-005
 2.543379e-001  2.934357e-004  7.033413e-005
 2.547931e-001  2.722832e-004  7.056598e-005
 2.552483e-001  4.065778e-004  6.995685e-005
 2.557035e-001  2.431152e-004  6.985187e-005
 2.561587e-001  3.651023e-004  6.993582e-005
 2.566138e-001  4.153132e-004  6.969795e-005
 2.570690e-001  4.532795e-004  7.010136e-005
 2.575242e-001  4.081635e-004  6.903035e-005
 2.579794e-001  3.444756e-004  6.962062e-005
 2.584346e-001  3.629901e-004  6.932856e-005
 2.588898e-001  3.690023e-004  6.921061e-005
 2.593449e-001  4.208759e-004  6.946074e-005
 2.598001e-001  3.759098e-004  6.892196e-005
 2.602553e-001  3.692825e-004  6.924779e-005
 2.607104e-001  1.933818e-004  6.891717e-005
 2.611656e-001  2.851951e-004  6.901629e-005
 2.616207e-001  3.577090e-004  6.873265e-005
 2.620759e-001  3.149862e-004  6.909938e-005
 2.625310e-001  4.382610e-004  6.904311e-005
 2.629862e-001  3.657627e-004  6.895010e-005
 2.634413e-001  3.658105e-004  6.840493e-005
 2.638964e-001  3.747069e-004  6.846319e-005
 2.643516e-001  4.289555e-004  6.872951e-005
 2.648067e-001  1.717110e-004  6.874900e-005
 2.652618e-001  3.003873e-004  6.829378e-005
 2.657170e-001  3.738807e-004  6.869708e-005
 2.661721e-001  3.518640e-004  6.811551e-005
 2.666272e-001  3.767080e-004  6.865591e-005
 2.670823e-001  4.030688e-004  6.799809e-005
 2.675374e-001  3.752382e-004  6.818000e-005
 2.679925e-001  4.508399e-004  6.854817e-005
