Sample description: Archit_2
Sample: Archit_2  c= 3.27 mg/ml  Code: Archit_2_3p27_archit
Parent(s): analysis/processed/subtracted/Archit_2_3p27_archit_0353_sub.dat
 1.466260e+000  2.685584e+002  1.502172e+001
 1.469010e+000  2.894758e+002  1.474307e+001
 1.471760e+000  2.585015e+002  1.492371e+001
 1.474510e+000  2.537700e+002  1.490936e+001
 1.477260e+000  2.746869e+002  1.495500e+001
 1.480010e+000  2.550031e+002  1.492778e+001
 1.482760e+000  2.265297e+002  1.475467e+001
 1.485510e+000  2.492462e+002  1.492750e+001
 1.488260e+000  2.531994e+002  1.478031e+001
 1.491010e+000  2.535287e+002  1.479287e+001
 1.493760e+000  2.576092e+002  1.483671e+001
 1.496510e+000  2.407618e+002  1.482635e+001
 1.499260e+000  2.263639e+002  1.482789e+001
 1.502010e+000  2.457333e+002  1.473380e+001
 1.504760e+000  2.418994e+002  1.468457e+001
 1.507510e+000  2.425798e+002  1.477209e+001
 1.510260e+000  2.325716e+002  1.472026e+001
 1.513010e+000  2.591404e+002  1.473157e+001
 1.515760e+000  2.383749e+002  1.463743e+001
 1.518510e+000  2.416486e+002  1.460624e+001
 1.521260e+000  2.746777e+002  1.474170e+001
 1.524010e+000  2.332388e+002  1.462299e+001
 1.526760e+000  2.401498e+002  1.466924e+001
 1.529510e+000  2.300407e+002  1.453140e+001
 1.532260e+000  2.442774e+002  1.463921e+001
 1.535010e+000  2.663817e+002  1.466220e+001
 1.537760e+000  2.317119e+002  1.455336e+001
