Q06160	copy_number:6.72E+02
P04039	copy_number:6.72E+02
Q04545	copy_number:6.72E+02
P49960	copy_number:6.72E+02
Q12272	copy_number:6.72E+02
P39875	copy_number:6.72E+02
Q03067	copy_number:6.72E+02
P13587	copy_number:6.88E+02
P08153	copy_number:6.88E+02
Q04418	copy_number:6.88E+02
P39969	copy_number:6.88E+02
P06775	copy_number:6.88E+02
P08432	copy_number:6.88E+02
Q05777	copy_number:6.88E+02
P05066	copy_number:6.88E+02
Q12254	copy_number:6.88E+02
Q08981	copy_number:6.88E+02
P38172	copy_number:7.04E+02
P38170	copy_number:7.04E+02
P38082	copy_number:7.04E+02
P38130	copy_number:7.04E+02
P38353	copy_number:7.04E+02
P26364	copy_number:7.04E+02
P43597	copy_number:7.04E+02
P53153	copy_number:7.04E+02
P37267	copy_number:7.04E+02
P21657	copy_number:7.04E+02
P36104	copy_number:7.04E+02
Q05776	copy_number:7.04E+02
Q04304	copy_number:7.04E+02
P38429	copy_number:7.04E+02
P53956	copy_number:7.04E+02
Q08236	copy_number:7.04E+02
P34758	copy_number:7.04E+02
P40987	copy_number:7.04E+02
Q06604	copy_number:7.04E+02
P25588	copy_number:7.21E+02
P13045	copy_number:7.21E+02
Q99359	copy_number:7.21E+02
P43604	copy_number:7.21E+02
P25339	copy_number:7.21E+02
P47065	copy_number:7.21E+02
P27614	copy_number:7.21E+02
P46988	copy_number:7.21E+02
P40893	copy_number:7.21E+02
P47165	copy_number:7.21E+02
P36097	copy_number:7.21E+02
P36009	copy_number:7.21E+02
P54780	copy_number:7.21E+02
Q03231	copy_number:7.21E+02
Q3E846	copy_number:7.21E+02
Q06091	copy_number:7.21E+02
P39702	copy_number:7.36E+02
P25336	copy_number:7.36E+02
P40990	copy_number:7.36E+02
Q12263	copy_number:7.36E+02
P32644	copy_number:7.36E+02
P53166	copy_number:7.36E+02
P53086	copy_number:7.36E+02
Q00916	copy_number:7.36E+02
P40473	copy_number:7.36E+02
