# Sample description: red1
# Sample: red1  c= 6.0000 mg/ml  Code: red1_6_komal_buffer
# Parent(s): analysis/processed/averaged/red1_6_komal_buffer_0100_sample.dat analysis/processed/averaged/red1_6_komal_buffer_0100_buffer.dat
  1.319656e+00   3.875990e+03   1.035526e+02
  1.322464e+00   3.780400e+03   1.040114e+02
  1.325282e+00   3.732940e+03   1.035610e+02
  1.328089e+00   3.718670e+03   1.032220e+02
  1.330907e+00   3.710320e+03   1.034972e+02
  1.333725e+00   3.780020e+03   1.024022e+02
  1.336533e+00   3.730780e+03   1.036964e+02
  1.339351e+00   3.773930e+03   1.027932e+02
  1.342159e+00   3.805470e+03   1.027627e+02
  1.344977e+00   3.656530e+03   1.029431e+02
  1.347784e+00   3.710870e+03   1.023454e+02
  1.350602e+00   3.686420e+03   1.028281e+02
  1.353420e+00   3.615320e+03   1.019292e+02
  1.356228e+00   3.738720e+03   1.019854e+02
  1.359046e+00   3.574100e+03   1.023848e+02
  1.361854e+00   3.551060e+03   1.015724e+02
  1.364672e+00   3.426110e+03   1.019106e+02
  1.367479e+00   3.673090e+03   1.010708e+02
  1.370297e+00   3.672190e+03   1.016465e+02
  1.373115e+00   3.457090e+03   1.017245e+02
  1.375923e+00   3.595620e+03   1.005659e+02
  1.378741e+00   3.500820e+03   1.014413e+02
  1.381549e+00   3.475090e+03   1.011327e+02
  1.384367e+00   3.374540e+03   1.019208e+02
  1.387174e+00   3.601320e+03   1.038948e+02
  1.389992e+00   3.421230e+03   1.035662e+02
  1.392810e+00   3.530290e+03   1.055639e+02
  1.395618e+00   3.450290e+03   1.057452e+02
  1.398436e+00   3.595950e+03   1.053861e+02
  1.401244e+00   3.451680e+03   1.061940e+02
  1.404062e+00   3.405970e+03   1.051558e+02
  1.406869e+00   3.490110e+03   1.074976e+02
  1.409687e+00   3.543190e+03   1.067967e+02
  1.412505e+00   3.578640e+03   1.073518e+02
  1.415313e+00   3.499690e+03   1.079843e+02
  1.418131e+00   3.211030e+03   1.070779e+02
  1.420939e+00   3.575280e+03   1.081797e+02
  1.423757e+00   3.294990e+03   1.081658e+02
  1.426564e+00   3.221540e+03   1.077695e+02
  1.429382e+00   3.606230e+03   1.093984e+02
  1.432200e+00   3.392210e+03   1.084011e+02
  1.435008e+00   3.303750e+03   1.088211e+02
  1.437826e+00   3.455050e+03   1.086866e+02
  1.440634e+00   3.038550e+03   1.090623e+02
  1.443452e+00   3.372210e+03   1.098567e+02
  1.446259e+00   3.145750e+03   1.087376e+02
  1.449077e+00   3.320900e+03   1.097813e+02
  1.451895e+00   3.392450e+03   1.074077e+02
  1.454703e+00   3.403440e+03   1.071335e+02
  1.457521e+00   3.366800e+03   1.051404e+02
  1.460329e+00   3.270830e+03   1.047478e+02
  1.463147e+00   3.347190e+03   1.042061e+02
  1.465954e+00   3.297520e+03   1.035559e+02
  1.468772e+00   3.109150e+03   1.030610e+02
  1.471590e+00   3.204120e+03   1.029111e+02
  1.474398e+00   3.201860e+03   1.025959e+02
  1.477216e+00   3.210610e+03   1.021480e+02
  1.480024e+00   3.102100e+03   1.021557e+02
  1.482842e+00   3.104200e+03   1.015787e+02
  1.485649e+00   3.046030e+03   1.011994e+02
  1.488467e+00   3.091250e+03   1.013736e+02
  1.491285e+00   3.095170e+03   1.005909e+02
  1.494093e+00   3.115990e+03   1.007979e+02
  1.496911e+00   3.226320e+03   1.008230e+02
  1.499719e+00   2.874410e+03   1.000616e+02
  1.502537e+00   3.098810e+03   9.997675e+01
  1.505344e+00   3.189170e+03   1.000496e+02
  1.508162e+00   2.993470e+03   9.946250e+01
  1.510980e+00   3.047650e+03   9.911022e+01
  1.513788e+00   3.076020e+03   9.971863e+01
