Q58P69	copy_number:730.5089214
Q8L7Y8	copy_number:731.9716656
Q7FB56	copy_number:732.211266
Q1PEC0	copy_number:732.6405413
Q9FXD6	copy_number:732.79688
Q9FFN2	copy_number:732.8757
Q94KB9	copy_number:732.9970909
Q9M8J3	copy_number:733.2792402
Q9XI81	copy_number:733.4379402
Q9STP2	copy_number:734.9674794
Q494P0	copy_number:735.8847367
Q9FIH2	copy_number:736.2457144
Q9FFR9	copy_number:736.8607804
Q9LVF9	copy_number:737.2142758
Q9SVQ3	copy_number:737.9100228
Q9LJY7	copy_number:739.4875902
