Q9SCZ2	copy_number:460.0212151
Q6NMH7	copy_number:461.3908615
Q9FK21	copy_number:461.4617903
F4JB55	copy_number:461.6469031
F4JTF7	copy_number:461.8475682
Q9LUN5	copy_number:462.0941679
A0A1P8APU6	copy_number:462.269334
Q9FVR4	copy_number:462.6400088
Q1PEN6	copy_number:463.3531333
A0A178WL81	copy_number:463.6614348
Q9SK37	copy_number:463.9039597
Q9S6Z8	copy_number:463.9801769
F4INV5	copy_number:465.7027198
Q9SSR4	copy_number:466.0637422
Q8RXV4	copy_number:466.2485148
Q9FH09	copy_number:466.4162024
Q9T0E4	copy_number:466.6930747
F4IVF9	copy_number:466.7133713
A0A1P8B0K4	copy_number:466.7504171
Q9FXA4	copy_number:466.9651959
Q710E8	copy_number:467.1196745
F4IWC6	copy_number:467.5419624
F4I4T7	copy_number:467.5485826
Q7XJE5	copy_number:468.5145942
Q9FKZ7	copy_number:469.276738
Q9FIH4	copy_number:469.3239412
Q9M1J3	copy_number:469.4635541
Q9SUC4	copy_number:469.982697
A0A1P8B652	copy_number:470.1242468
F4IK99	copy_number:470.1474176
Q9SG02	copy_number:470.2394368
A0A1P8BHI8	copy_number:471.327507
Q9M2U3	copy_number:472.0614569
Q9LU43	copy_number:473.7912954
Q9SZL8	copy_number:474.4028836
A0A1P8BEU3	copy_number:475.2342986
Q9SXL4	copy_number:475.3751692
F4JNI5	copy_number:475.7446712
F4KH85	copy_number:475.9187326
F4HP69	copy_number:476.4437971
Q9LVG5	copy_number:477.1534671
F4I6M4	copy_number:477.2494876
A0A1I9LP21	copy_number:477.5356561
O48809	copy_number:477.997221
Q8W0Z5	copy_number:478.0669586
F4JW93	copy_number:478.9914373
Q1G2Z8	copy_number:479.4858132
O22166	copy_number:479.8696034
O65507	copy_number:480.2400389
A0A1I9LRP9	copy_number:480.7617642
Q9SA60	copy_number:481.0241302
Q9M1K2	copy_number:481.0268254
Q0WL38	copy_number:481.9384481
Q9SY02	copy_number:482.1149062
A0A178V4W8	copy_number:482.1744765
Q9LUS6	copy_number:483.2514397
Q9ZPY4	copy_number:483.3167329
A0A1P8B1J4	copy_number:484.0175679
Q9FJG4	copy_number:485.1921647
F4JE12	copy_number:486.0651642
Q9LUP5	copy_number:486.1235126
O22921	copy_number:486.3184758
A0A1P8B978	copy_number:487.0026325
O49316	copy_number:487.9825527
F4K4H9	copy_number:488.0358137
Q9FJU6	copy_number:488.7459596
F4I2B7	copy_number:489.1363624
Q9M2E7	copy_number:489.2473038
A0A1P8AW29	copy_number:489.8972363
Q9LV23	copy_number:490.0773336
Q8VZ17	copy_number:490.71545
Q5XVE2	copy_number:491.0269873
A0A1P8BF20	copy_number:491.7971396
A0A1P8B465	copy_number:491.945747
Q9ZWA1	copy_number:492.1100522
Q9SUR8	copy_number:492.2838765
Q9SU15	copy_number:493.1627751
O49725	copy_number:493.6618714
F4IIX2	copy_number:494.0596019
O82329	copy_number:494.5855884
Q9LPL3	copy_number:495.0179165
A0A1P8B478	copy_number:495.0224833
O23038	copy_number:495.1115539
Q9LF94	copy_number:495.6706893
F4K1I4	copy_number:495.9272388
Q9LYN8	copy_number:496.0678427
F4IS01	copy_number:496.1542314
Q9SV26	copy_number:497.2324102
Q9SNB6	copy_number:497.3937345
Q9C955	copy_number:497.5966907
Q9LZC2	copy_number:497.6243793
F4IP61	copy_number:498.7379357
Q9FLX0	copy_number:499.5195037
A0A1I9LR95	copy_number:499.8366974
Q9LMH6	copy_number:499.9100427
O22221	copy_number:500.4147292
Q9C6F7	copy_number:500.4182294
O48689	copy_number:500.8614035
Q9S710	copy_number:500.9847442
F4IQL7	copy_number:501.0280155
F4INW9	copy_number:501.1286209
Q42575	copy_number:501.3393213
A0A1I9LQU7	copy_number:501.3978806
F4JUP0	copy_number:501.3978806
A0A1P8BGC9	copy_number:501.4271654
F4KHH8	copy_number:501.9775743
Q9C9F0	copy_number:502.142776
A0A1P8AYI8	copy_number:502.4090107
F4INK3	copy_number:502.5084068
A0A1I9LRC7	copy_number:503.0879211
Q0WVG1	copy_number:503.184047
Q9LMT9	copy_number:503.7580273
Q9ZQX8	copy_number:504.184635
C0SVH8	copy_number:505.7576464
Q9C565	copy_number:506.8720289
A0A1I9LQ32	copy_number:507.2769515
Q9SHY1	copy_number:507.4244656
Q8H109	copy_number:507.7653952
Q9SV69	copy_number:509.0986849
Q9FIX3	copy_number:509.3669089
A0A1P8AY75	copy_number:509.4406595
Q9ZW00	copy_number:509.5749164
O82500	copy_number:510.6879754
Q8VZG4	copy_number:510.8879427
Q8RXT2	copy_number:511.1781432
A0A2H1ZE33	copy_number:511.2122345
Q84WQ5	copy_number:511.5046322
Q66GR1	copy_number:511.7131697
A0A1P8ASI2	copy_number:512.6861478
F4JRJ9	copy_number:512.8429521
Q9SHI4	copy_number:513.228019
A0A1P8AX56	copy_number:513.2353826
Q9SLH9	copy_number:513.5571326
Q9SN11	copy_number:514.2388042
Q8S8D2	copy_number:514.8382968
Q9SYJ8	copy_number:515.4552812
Q94B08	copy_number:515.458995
Q9SAB5	copy_number:516.5233419
Q9SZL9	copy_number:516.787005
Q9FFY6	copy_number:517.2428309
F4JVP4	copy_number:518.0987374
Q9MAP2	copy_number:518.2144486
Q9SJ04	copy_number:519.7655756
Q8LAW2	copy_number:519.9657881
O49318	copy_number:520.4297652
Q700D0	copy_number:520.9539947
Q9LHD2	copy_number:521.2424549
F4KEL0	copy_number:521.2646086
O04514	copy_number:521.3659071
F4JTT5	copy_number:521.5160277
Q9FHF6	copy_number:521.6085502
A0A1P8AW56	copy_number:521.7011054
Q0WSK8	copy_number:521.8710869
Q941C9	copy_number:521.9256567
